pdb_id,chain_auth,chain_asym,label,description
4GG6,H,H,TCR_BETA,"T-CELL RECEPTOR, SP3.4 BETA CHAIN"
4GG6,F,F,TCR_BETA,"T-CELL RECEPTOR, SP3.4 BETA CHAIN"
4GG6,G,G,TCR_ALPHA,"T-CELL RECEPTOR, SP3.4 ALPHA CHAIN"
4GG6,E,E,TCR_ALPHA,"T-CELL RECEPTOR, SP3.4 ALPHA CHAIN"
4GG6,D,D,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4GG6,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4GG6,C,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4GG6,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4GRL,D,D,TCR_BETA,TCR Hy.1B11 beta chain
4GRL,C,C,TCR_ALPHA,TCR Hy.1B11 alpha chain
4GRL,B,B,MHC,MHC class II antigen
4GRL,A,A,MHC,MHC class II HLA-DQ-alpha chain
4H1L,J,J,TCR,Ani2.3 TCR B chain
4H1L,H,H,TCR,Ani2.3 TCR B chain
4H1L,I,I,TCR,Ani2.3 TCR A chain
4H1L,G,G,TCR,Ani2.3 TCR A chain
4H1L,F,F,PEPTIDE,mimotope peptide
4H1L,C,C,PEPTIDE,mimotope peptide
4H1L,E,E,MHC,MHC class II antigen
4H1L,B,B,MHC,MHC class II antigen
4H1L,D,D,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
4H1L,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
4-May,D,D,TCR_BETA,"UL15 peptide-HY.1B11 TCR beta chain, chimeric construct"
4-May,C,C,TCR_ALPHA,HY.1B11 TCR alpha chain
4-May,B,B,MHC,MHC class II antigen
4-May,A,A,MHC,MHC class II HLA-DQ-alpha chain
4OZF,G,C,TCR_ALPHA,"T-CELL RECEPTOR, JR5.1 ALPHA CHAIN"
4OZF,J,E,PEPTIDE,deamidated Gliadin-alpha2 peptide
4OZF,H,D,TCR_BETA,"T-CELL RECEPTOR, JR5.1 BETA CHAIN"
4OZF,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4OZF,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4OZG,J,J,PEPTIDE,deamidated Gliadin-alpha2 peptide
4OZG,I,I,PEPTIDE,deamidated Gliadin-alpha2 peptide
4OZG,H,H,TCR_BETA,"T-cell receptor, d2, beta chain"
4OZG,F,F,TCR_BETA,"T-cell receptor, d2, beta chain"
4OZG,G,G,TCR_ALPHA,"T-cell receptor, d2, alpha chain"
4OZG,E,E,TCR_ALPHA,"T-cell receptor, d2, alpha chain"
4OZG,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4OZG,D,D,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4OZG,C,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4OZG,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4OZH,E,E,TCR_ALPHA,"T-cell receptor, s16, alpha chain"
4OZH,G,G,TCR_ALPHA,"T-cell receptor, s16, alpha chain"
4OZH,J,J,PEPTIDE,Gliadin-alpha2 peptide
4OZH,I,I,PEPTIDE,Gliadin-alpha2 peptide
4OZH,H,H,TCR_BETA,"T-cell receptor, s16, beta chain"
4OZH,F,F,TCR_BETA,"T-cell receptor, s16, beta chain"
4OZH,D,D,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4OZH,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4OZH,C,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4OZH,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4OZI,C,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4OZI,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
4OZI,D,D,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4OZI,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
4OZI,G,G,TCR_ALPHA,"T-cell receptor, s2, alpha chain"
4OZI,E,E,TCR_ALPHA,"T-cell receptor, s2, alpha chain"
4OZI,H,H,TCR_BETA,"T-cell receptor, s2, beta chain"
